job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_34: TOTAL: 122, ACCEPT: 31(25.41%), REJECT: 45(36.89%), RESERVE: 46(37.70%)
job_35: TOTAL: 825, ACCEPT: 313(37.94%), REJECT: 268(32.48%), RESERVE: 244(29.58%)
job_36: TOTAL: 880, ACCEPT: 420(47.73%), REJECT: 202(22.95%), RESERVE: 258(29.32%)
job_37: TOTAL: 1776, ACCEPT: 304(17.12%), REJECT: 1306(73.54%), RESERVE: 166(9.35%)
job_38: TOTAL: 909, ACCEPT: 340(37.40%), REJECT: 285(31.35%), RESERVE: 284(31.24%)
job_39: TOTAL: 932, ACCEPT: 350(37.55%), REJECT: 292(31.33%), RESERVE: 290(31.12%)
job_40: TOTAL: 1011, ACCEPT: 473(46.79%), REJECT: 257(25.42%), RESERVE: 281(27.79%)
job_41: TOTAL: 1374, ACCEPT: 442(32.17%), REJECT: 467(33.99%), RESERVE: 465(33.84%)
job_42: TOTAL: 103, ACCEPT: 86(83.50%), REJECT: 2(1.94%), RESERVE: 15(14.56%)
job_43: TOTAL: 962, ACCEPT: 341(35.45%), REJECT: 419(43.56%), RESERVE: 202(21.00%)
job_44: TOTAL: 89, ACCEPT: 18(20.22%), REJECT: 71(79.78%), RESERVE: 0(0.00%)
job_45: TOTAL: 1018, ACCEPT: 396(38.90%), REJECT: 306(30.06%), RESERVE: 316(31.04%)
job_46: TOTAL: 982, ACCEPT: 407(41.45%), REJECT: 291(29.63%), RESERVE: 284(28.92%)
job_47: TOTAL: 129, ACCEPT: 107(82.95%), REJECT: 17(13.18%), RESERVE: 5(3.88%)
job_48: TOTAL: 536, ACCEPT: 261(48.69%), REJECT: 114(21.27%), RESERVE: 161(30.04%)
job_49: TOTAL: 1019, ACCEPT: 394(38.67%), REJECT: 285(27.97%), RESERVE: 340(33.37%)
job_50: TOTAL: 330, ACCEPT: 254(76.97%), REJECT: 35(10.61%), RESERVE: 41(12.42%)
job_51: TOTAL: 1193, ACCEPT: 496(41.58%), REJECT: 306(25.65%), RESERVE: 391(32.77%)
job_52: TOTAL: 616, ACCEPT: 238(38.64%), REJECT: 160(25.97%), RESERVE: 218(35.39%)
job_53: TOTAL: 642, ACCEPT: 229(35.67%), REJECT: 208(32.40%), RESERVE: 205(31.93%)
job_54: TOTAL: 1228, ACCEPT: 431(35.10%), REJECT: 397(32.33%), RESERVE: 400(32.57%)
job_55: TOTAL: 1092, ACCEPT: 451(41.30%), REJECT: 298(27.29%), RESERVE: 343(31.41%)
job_56: TOTAL: 798, ACCEPT: 328(41.10%), REJECT: 218(27.32%), RESERVE: 252(31.58%)
job_57: TOTAL: 1053, ACCEPT: 403(38.27%), REJECT: 294(27.92%), RESERVE: 356(33.81%)
job_58: TOTAL: 11, ACCEPT: 3(27.27%), REJECT: 8(72.73%), RESERVE: 0(0.00%)
job_59: TOTAL: 819, ACCEPT: 321(39.19%), REJECT: 241(29.43%), RESERVE: 257(31.38%)
job_60: TOTAL: 1086, ACCEPT: 414(38.12%), REJECT: 347(31.95%), RESERVE: 325(29.93%)
job_61: TOTAL: 47, ACCEPT: 22(46.81%), REJECT: 20(42.55%), RESERVE: 5(10.64%)
job_62: TOTAL: 654, ACCEPT: 296(45.26%), REJECT: 190(29.05%), RESERVE: 168(25.69%)
job_63: TOTAL: 400, ACCEPT: 99(24.75%), REJECT: 128(32.00%), RESERVE: 173(43.25%)
job_64: TOTAL: 523, ACCEPT: 204(39.01%), REJECT: 146(27.92%), RESERVE: 173(33.08%)
job_65: TOTAL: 585, ACCEPT: 172(29.40%), REJECT: 214(36.58%), RESERVE: 199(34.02%)
job_66: TOTAL: 1260, ACCEPT: 489(38.81%), REJECT: 375(29.76%), RESERVE: 396(31.43%)
job_67: TOTAL: 1001, ACCEPT: 367(36.66%), REJECT: 334(33.37%), RESERVE: 300(29.97%)
job_68: TOTAL: 1327, ACCEPT: 484(36.47%), REJECT: 400(30.14%), RESERVE: 443(33.38%)
job_69: TOTAL: 363, ACCEPT: 275(75.76%), REJECT: 20(5.51%), RESERVE: 68(18.73%)
job_70: TOTAL: 294, ACCEPT: 103(35.03%), REJECT: 94(31.97%), RESERVE: 97(32.99%)
job_71: TOTAL: 224, ACCEPT: 92(41.07%), REJECT: 79(35.27%), RESERVE: 53(23.66%)
job_72: TOTAL: 923, ACCEPT: 358(38.79%), REJECT: 284(30.77%), RESERVE: 281(30.44%)
job_73: TOTAL: 1230, ACCEPT: 430(34.96%), REJECT: 373(30.33%), RESERVE: 427(34.72%)
job_74: TOTAL: 862, ACCEPT: 336(38.98%), REJECT: 258(29.93%), RESERVE: 268(31.09%)
job_75: TOTAL: 594, ACCEPT: 183(30.81%), REJECT: 213(35.86%), RESERVE: 198(33.33%)
job_76: TOTAL: 123, ACCEPT: 56(45.53%), REJECT: 48(39.02%), RESERVE: 19(15.45%)
job_77: TOTAL: 825, ACCEPT: 312(37.82%), REJECT: 250(30.30%), RESERVE: 263(31.88%)
job_78: TOTAL: 263, ACCEPT: 94(35.74%), REJECT: 88(33.46%), RESERVE: 81(30.80%)
job_79: TOTAL: 333, ACCEPT: 111(33.33%), REJECT: 111(33.33%), RESERVE: 111(33.33%)
job_80: TOTAL: 427, ACCEPT: 149(34.89%), REJECT: 148(34.66%), RESERVE: 130(30.44%)
job_81: TOTAL: 802, ACCEPT: 367(45.76%), REJECT: 195(24.31%), RESERVE: 240(29.93%)
job_82: TOTAL: 646, ACCEPT: 247(38.24%), REJECT: 198(30.65%), RESERVE: 201(31.11%)
job_83: TOTAL: 1187, ACCEPT: 484(40.78%), REJECT: 341(28.73%), RESERVE: 362(30.50%)
job_84: TOTAL: 714, ACCEPT: 326(45.66%), REJECT: 184(25.77%), RESERVE: 204(28.57%)
job_85: TOTAL: 134, ACCEPT: 102(76.12%), REJECT: 26(19.40%), RESERVE: 6(4.48%)
job_86: TOTAL: 406, ACCEPT: 141(34.73%), REJECT: 158(38.92%), RESERVE: 107(26.35%)
job_87: TOTAL: 255, ACCEPT: 181(70.98%), REJECT: 36(14.12%), RESERVE: 38(14.90%)
job_88: TOTAL: 104, ACCEPT: 31(29.81%), REJECT: 32(30.77%), RESERVE: 41(39.42%)
job_89: TOTAL: 372, ACCEPT: 135(36.29%), REJECT: 113(30.38%), RESERVE: 124(33.33%)
job_90: TOTAL: 375, ACCEPT: 200(53.33%), REJECT: 74(19.73%), RESERVE: 101(26.93%)
job_91: TOTAL: 635, ACCEPT: 313(49.29%), REJECT: 162(25.51%), RESERVE: 160(25.20%)
job_92: TOTAL: 846, ACCEPT: 312(36.88%), REJECT: 236(27.90%), RESERVE: 298(35.22%)
job_93: TOTAL: 1330, ACCEPT: 494(37.14%), REJECT: 403(30.30%), RESERVE: 433(32.56%)
job_94: TOTAL: 782, ACCEPT: 410(52.43%), REJECT: 122(15.60%), RESERVE: 250(31.97%)
job_95: TOTAL: 283, ACCEPT: 164(57.95%), REJECT: 54(19.08%), RESERVE: 65(22.97%)
job_96: TOTAL: 117, ACCEPT: 39(33.33%), REJECT: 27(23.08%), RESERVE: 51(43.59%)
job_97: TOTAL: 1106, ACCEPT: 386(34.90%), REJECT: 366(33.09%), RESERVE: 354(32.01%)
job_98: TOTAL: 473, ACCEPT: 265(56.03%), REJECT: 110(23.26%), RESERVE: 98(20.72%)
job_99: TOTAL: 1694, ACCEPT: 321(18.95%), REJECT: 1045(61.69%), RESERVE: 328(19.36%)
job_100: TOTAL: 25, ACCEPT: 23(92.00%), REJECT: 2(8.00%), RESERVE: 0(0.00%)
job_101: TOTAL: 970, ACCEPT: 370(38.14%), REJECT: 269(27.73%), RESERVE: 331(34.12%)
job_102: TOTAL: 1080, ACCEPT: 452(41.85%), REJECT: 269(24.91%), RESERVE: 359(33.24%)
job_103: TOTAL: 850, ACCEPT: 346(40.71%), REJECT: 235(27.65%), RESERVE: 269(31.65%)
job_104: TOTAL: 225, ACCEPT: 84(37.33%), REJECT: 79(35.11%), RESERVE: 62(27.56%)
job_105: TOTAL: 410, ACCEPT: 133(32.44%), REJECT: 116(28.29%), RESERVE: 161(39.27%)
job_106: TOTAL: 341, ACCEPT: 230(67.45%), REJECT: 51(14.96%), RESERVE: 60(17.60%)
job_107: TOTAL: 1015, ACCEPT: 368(36.26%), REJECT: 334(32.91%), RESERVE: 313(30.84%)
job_108: TOTAL: 729, ACCEPT: 287(39.37%), REJECT: 219(30.04%), RESERVE: 223(30.59%)
job_109: TOTAL: 848, ACCEPT: 373(43.99%), REJECT: 225(26.53%), RESERVE: 250(29.48%)
job_110: TOTAL: 112, ACCEPT: 53(47.32%), REJECT: 14(12.50%), RESERVE: 45(40.18%)
job_111: TOTAL: 1149, ACCEPT: 450(39.16%), REJECT: 329(28.63%), RESERVE: 370(32.20%)
job_112: TOTAL: 291, ACCEPT: 112(38.49%), REJECT: 106(36.43%), RESERVE: 73(25.09%)
job_113: TOTAL: 476, ACCEPT: 169(35.50%), REJECT: 156(32.77%), RESERVE: 151(31.72%)
job_114: TOTAL: 12882, ACCEPT: 167(1.30%), REJECT: 12614(97.92%), RESERVE: 101(0.78%)
job_115: TOTAL: 466, ACCEPT: 162(34.76%), REJECT: 151(32.40%), RESERVE: 153(32.83%)
job_116: TOTAL: 978, ACCEPT: 424(43.35%), REJECT: 241(24.64%), RESERVE: 313(32.00%)
job_117: TOTAL: 420, ACCEPT: 200(47.62%), REJECT: 107(25.48%), RESERVE: 113(26.90%)
job_118: TOTAL: 457, ACCEPT: 163(35.67%), REJECT: 166(36.32%), RESERVE: 128(28.01%)
job_119: TOTAL: 252, ACCEPT: 80(31.75%), REJECT: 87(34.52%), RESERVE: 85(33.73%)
job_120: TOTAL: 905, ACCEPT: 367(40.55%), REJECT: 261(28.84%), RESERVE: 277(30.61%)
job_121: TOTAL: 543, ACCEPT: 214(39.41%), REJECT: 140(25.78%), RESERVE: 189(34.81%)
job_122: TOTAL: 1282, ACCEPT: 311(24.26%), REJECT: 687(53.59%), RESERVE: 284(22.15%)
job_123: TOTAL: 185, ACCEPT: 52(28.11%), REJECT: 89(48.11%), RESERVE: 44(23.78%)
job_124: TOTAL: 657, ACCEPT: 295(44.90%), REJECT: 193(29.38%), RESERVE: 169(25.72%)
job_125: TOTAL: 296, ACCEPT: 101(34.12%), REJECT: 101(34.12%), RESERVE: 94(31.76%)
job_126: TOTAL: 696, ACCEPT: 304(43.68%), REJECT: 171(24.57%), RESERVE: 221(31.75%)
job_127: TOTAL: 822, ACCEPT: 347(42.21%), REJECT: 227(27.62%), RESERVE: 248(30.17%)
job_128: TOTAL: 830, ACCEPT: 445(53.61%), REJECT: 167(20.12%), RESERVE: 218(26.27%)
job_129: TOTAL: 794, ACCEPT: 351(44.21%), REJECT: 223(28.09%), RESERVE: 220(27.71%)
job_130: TOTAL: 789, ACCEPT: 469(59.44%), REJECT: 132(16.73%), RESERVE: 188(23.83%)
job_131: TOTAL: 754, ACCEPT: 171(22.68%), REJECT: 482(63.93%), RESERVE: 101(13.40%)
job_132: TOTAL: 694, ACCEPT: 321(46.25%), REJECT: 181(26.08%), RESERVE: 192(27.67%)
job_133: TOTAL: 1028, ACCEPT: 358(34.82%), REJECT: 324(31.52%), RESERVE: 346(33.66%)
job_134: TOTAL: 329, ACCEPT: 114(34.65%), REJECT: 115(34.95%), RESERVE: 100(30.40%)
job_135: TOTAL: 886, ACCEPT: 407(45.94%), REJECT: 235(26.52%), RESERVE: 244(27.54%)
job_136: TOTAL: 140, ACCEPT: 93(66.43%), REJECT: 47(33.57%), RESERVE: 0(0.00%)
job_137: TOTAL: 243, ACCEPT: 129(53.09%), REJECT: 67(27.57%), RESERVE: 47(19.34%)
job_138: TOTAL: 318, ACCEPT: 166(52.20%), REJECT: 66(20.75%), RESERVE: 86(27.04%)
job_139: TOTAL: 1148, ACCEPT: 398(34.67%), REJECT: 387(33.71%), RESERVE: 363(31.62%)
job_140: TOTAL: 889, ACCEPT: 290(32.62%), REJECT: 294(33.07%), RESERVE: 305(34.31%)
job_141: TOTAL: 449, ACCEPT: 309(68.82%), REJECT: 67(14.92%), RESERVE: 73(16.26%)
job_142: TOTAL: 41, ACCEPT: 18(43.90%), REJECT: 15(36.59%), RESERVE: 8(19.51%)
job_143: TOTAL: 1491, ACCEPT: 481(32.26%), REJECT: 520(34.88%), RESERVE: 490(32.86%)
job_144: TOTAL: 816, ACCEPT: 330(40.44%), REJECT: 224(27.45%), RESERVE: 262(32.11%)
job_145: TOTAL: 1289, ACCEPT: 481(37.32%), REJECT: 408(31.65%), RESERVE: 400(31.03%)
job_146: TOTAL: 340, ACCEPT: 102(30.00%), REJECT: 116(34.12%), RESERVE: 122(35.88%)
job_147: TOTAL: 706, ACCEPT: 277(39.24%), REJECT: 231(32.72%), RESERVE: 198(28.05%)
job_148: TOTAL: 267, ACCEPT: 118(44.19%), REJECT: 78(29.21%), RESERVE: 71(26.59%)
job_149: TOTAL: 238, ACCEPT: 94(39.50%), REJECT: 88(36.97%), RESERVE: 56(23.53%)
job_150: TOTAL: 246, ACCEPT: 52(21.14%), REJECT: 107(43.50%), RESERVE: 87(35.37%)
job_151: TOTAL: 224, ACCEPT: 53(23.66%), REJECT: 98(43.75%), RESERVE: 73(32.59%)
job_152: TOTAL: 231, ACCEPT: 73(31.60%), REJECT: 67(29.00%), RESERVE: 91(39.39%)
job_153: TOTAL: 232, ACCEPT: 179(77.16%), REJECT: 53(22.84%), RESERVE: 0(0.00%)
job_154: TOTAL: 478, ACCEPT: 157(32.85%), REJECT: 157(32.85%), RESERVE: 164(34.31%)
job_155: TOTAL: 456, ACCEPT: 176(38.60%), REJECT: 131(28.73%), RESERVE: 149(32.68%)
job_156: TOTAL: 370, ACCEPT: 183(49.46%), REJECT: 66(17.84%), RESERVE: 121(32.70%)
job_157: TOTAL: 178, ACCEPT: 75(42.13%), REJECT: 51(28.65%), RESERVE: 52(29.21%)
job_158: TOTAL: 784, ACCEPT: 268(34.18%), REJECT: 259(33.04%), RESERVE: 257(32.78%)
job_159: TOTAL: 1192, ACCEPT: 466(39.09%), REJECT: 366(30.70%), RESERVE: 360(30.20%)
job_160: TOTAL: 1179, ACCEPT: 492(41.73%), REJECT: 353(29.94%), RESERVE: 334(28.33%)
job_161: TOTAL: 71, ACCEPT: 30(42.25%), REJECT: 41(57.75%), RESERVE: 0(0.00%)
job_162: TOTAL: 342, ACCEPT: 119(34.80%), REJECT: 109(31.87%), RESERVE: 114(33.33%)
job_163: TOTAL: 1149, ACCEPT: 419(36.47%), REJECT: 369(32.11%), RESERVE: 361(31.42%)
job_164: TOTAL: 1115, ACCEPT: 444(39.82%), REJECT: 342(30.67%), RESERVE: 329(29.51%)
job_165: TOTAL: 389, ACCEPT: 118(30.33%), REJECT: 151(38.82%), RESERVE: 120(30.85%)
job_166: TOTAL: 342, ACCEPT: 108(31.58%), REJECT: 110(32.16%), RESERVE: 124(36.26%)
job_167: TOTAL: 18, ACCEPT: 10(55.56%), REJECT: 8(44.44%), RESERVE: 0(0.00%)
job_168: TOTAL: 635, ACCEPT: 297(46.77%), REJECT: 187(29.45%), RESERVE: 151(23.78%)
job_169: TOTAL: 1135, ACCEPT: 434(38.24%), REJECT: 331(29.16%), RESERVE: 370(32.60%)
job_170: TOTAL: 1084, ACCEPT: 407(37.55%), REJECT: 322(29.70%), RESERVE: 355(32.75%)
job_171: TOTAL: 1173, ACCEPT: 444(37.85%), REJECT: 361(30.78%), RESERVE: 368(31.37%)
job_172: TOTAL: 1050, ACCEPT: 394(37.52%), REJECT: 325(30.95%), RESERVE: 331(31.52%)
job_173: TOTAL: 445, ACCEPT: 184(41.35%), REJECT: 124(27.87%), RESERVE: 137(30.79%)
job_174: TOTAL: 954, ACCEPT: 452(47.38%), REJECT: 236(24.74%), RESERVE: 266(27.88%)
job_175: TOTAL: 194, ACCEPT: 46(23.71%), REJECT: 37(19.07%), RESERVE: 111(57.22%)
job_176: TOTAL: 928, ACCEPT: 345(37.18%), REJECT: 287(30.93%), RESERVE: 296(31.90%)
job_177: TOTAL: 520, ACCEPT: 192(36.92%), REJECT: 180(34.62%), RESERVE: 148(28.46%)
job_178: TOTAL: 931, ACCEPT: 378(40.60%), REJECT: 237(25.46%), RESERVE: 316(33.94%)
job_179: TOTAL: 464, ACCEPT: 366(78.88%), REJECT: 98(21.12%), RESERVE: 0(0.00%)
job_180: TOTAL: 2774, ACCEPT: 471(16.98%), REJECT: 2100(75.70%), RESERVE: 203(7.32%)
job_181: TOTAL: 421, ACCEPT: 207(49.17%), REJECT: 104(24.70%), RESERVE: 110(26.13%)
job_182: TOTAL: 542, ACCEPT: 192(35.42%), REJECT: 180(33.21%), RESERVE: 170(31.37%)
job_183: TOTAL: 277, ACCEPT: 181(65.34%), REJECT: 49(17.69%), RESERVE: 47(16.97%)
job_184: TOTAL: 190, ACCEPT: 98(51.58%), REJECT: 58(30.53%), RESERVE: 34(17.89%)
job_185: TOTAL: 442, ACCEPT: 180(40.72%), REJECT: 130(29.41%), RESERVE: 132(29.86%)
job_186: TOTAL: 173, ACCEPT: 82(47.40%), REJECT: 45(26.01%), RESERVE: 46(26.59%)
job_187: TOTAL: 403, ACCEPT: 135(33.50%), REJECT: 143(35.48%), RESERVE: 125(31.02%)
job_188: TOTAL: 270, ACCEPT: 60(22.22%), REJECT: 116(42.96%), RESERVE: 94(34.81%)
job_189: TOTAL: 65, ACCEPT: 14(21.54%), REJECT: 51(78.46%), RESERVE: 0(0.00%)
job_190: TOTAL: 1312, ACCEPT: 455(34.68%), REJECT: 395(30.11%), RESERVE: 462(35.21%)
job_191: TOTAL: 1034, ACCEPT: 429(41.49%), REJECT: 252(24.37%), RESERVE: 353(34.14%)
job_192: TOTAL: 650, ACCEPT: 361(55.54%), REJECT: 127(19.54%), RESERVE: 162(24.92%)
job_193: TOTAL: 1356, ACCEPT: 57(4.20%), REJECT: 1198(88.35%), RESERVE: 101(7.45%)
job_194: TOTAL: 479, ACCEPT: 144(30.06%), REJECT: 171(35.70%), RESERVE: 164(34.24%)
job_195: TOTAL: 191, ACCEPT: 87(45.55%), REJECT: 67(35.08%), RESERVE: 37(19.37%)
job_196: TOTAL: 35, ACCEPT: 6(17.14%), REJECT: 29(82.86%), RESERVE: 0(0.00%)
job_197: TOTAL: 850, ACCEPT: 409(48.12%), REJECT: 144(16.94%), RESERVE: 297(34.94%)
job_198: TOTAL: 990, ACCEPT: 410(41.41%), REJECT: 245(24.75%), RESERVE: 335(33.84%)
job_199: TOTAL: 533, ACCEPT: 153(28.71%), REJECT: 214(40.15%), RESERVE: 166(31.14%)
job_200: TOTAL: 25, ACCEPT: 16(64.00%), REJECT: 9(36.00%), RESERVE: 0(0.00%)
job_201: TOTAL: 363, ACCEPT: 184(50.69%), REJECT: 88(24.24%), RESERVE: 91(25.07%)
job_202: TOTAL: 165, ACCEPT: 99(60.00%), REJECT: 39(23.64%), RESERVE: 27(16.36%)
job_203: TOTAL: 571, ACCEPT: 237(41.51%), REJECT: 174(30.47%), RESERVE: 160(28.02%)
job_204: TOTAL: 1057, ACCEPT: 449(42.48%), REJECT: 296(28.00%), RESERVE: 312(29.52%)
job_205: TOTAL: 817, ACCEPT: 193(23.62%), REJECT: 514(62.91%), RESERVE: 110(13.46%)
job_206: TOTAL: 97, ACCEPT: 58(59.79%), REJECT: 10(10.31%), RESERVE: 29(29.90%)
job_207: TOTAL: 822, ACCEPT: 302(36.74%), REJECT: 251(30.54%), RESERVE: 269(32.73%)
job_208: TOTAL: 533, ACCEPT: 232(43.53%), REJECT: 160(30.02%), RESERVE: 141(26.45%)
job_209: TOTAL: 455, ACCEPT: 189(41.54%), REJECT: 118(25.93%), RESERVE: 148(32.53%)
job_210: TOTAL: 102, ACCEPT: 52(50.98%), REJECT: 16(15.69%), RESERVE: 34(33.33%)
job_211: TOTAL: 955, ACCEPT: 454(47.54%), REJECT: 235(24.61%), RESERVE: 266(27.85%)
job_212: TOTAL: 942, ACCEPT: 443(47.03%), REJECT: 207(21.97%), RESERVE: 292(31.00%)
job_213: TOTAL: 363, ACCEPT: 127(34.99%), REJECT: 109(30.03%), RESERVE: 127(34.99%)
job_214: TOTAL: 87, ACCEPT: 24(27.59%), REJECT: 10(11.49%), RESERVE: 53(60.92%)
job_215: TOTAL: 1006, ACCEPT: 443(44.04%), REJECT: 250(24.85%), RESERVE: 313(31.11%)
job_216: TOTAL: 258, ACCEPT: 80(31.01%), REJECT: 114(44.19%), RESERVE: 64(24.81%)
job_217: TOTAL: 713, ACCEPT: 312(43.76%), REJECT: 178(24.96%), RESERVE: 223(31.28%)
job_218: TOTAL: 922, ACCEPT: 331(35.90%), REJECT: 311(33.73%), RESERVE: 280(30.37%)
job_219: TOTAL: 457, ACCEPT: 261(57.11%), REJECT: 54(11.82%), RESERVE: 142(31.07%)
job_220: TOTAL: 915, ACCEPT: 379(41.42%), REJECT: 244(26.67%), RESERVE: 292(31.91%)
job_221: TOTAL: 317, ACCEPT: 192(60.57%), REJECT: 57(17.98%), RESERVE: 68(21.45%)
job_222: TOTAL: 950, ACCEPT: 363(38.21%), REJECT: 318(33.47%), RESERVE: 269(28.32%)
job_223: TOTAL: 41, ACCEPT: 13(31.71%), REJECT: 19(46.34%), RESERVE: 9(21.95%)
job_224: TOTAL: 779, ACCEPT: 350(44.93%), REJECT: 203(26.06%), RESERVE: 226(29.01%)
job_225: TOTAL: 346, ACCEPT: 104(30.06%), REJECT: 120(34.68%), RESERVE: 122(35.26%)
job_226: TOTAL: 238, ACCEPT: 104(43.70%), REJECT: 56(23.53%), RESERVE: 78(32.77%)
job_227: TOTAL: 1203, ACCEPT: 479(39.82%), REJECT: 364(30.26%), RESERVE: 360(29.93%)
job_228: TOTAL: 692, ACCEPT: 251(36.27%), REJECT: 231(33.38%), RESERVE: 210(30.35%)
job_229: TOTAL: 202, ACCEPT: 74(36.63%), REJECT: 65(32.18%), RESERVE: 63(31.19%)
job_230: TOTAL: 783, ACCEPT: 355(45.34%), REJECT: 205(26.18%), RESERVE: 223(28.48%)
job_231: TOTAL: 517, ACCEPT: 203(39.26%), REJECT: 157(30.37%), RESERVE: 157(30.37%)
job_232: TOTAL: 876, ACCEPT: 296(33.79%), REJECT: 303(34.59%), RESERVE: 277(31.62%)
job_233: TOTAL: 480, ACCEPT: 234(48.75%), REJECT: 97(20.21%), RESERVE: 149(31.04%)
job_234: TOTAL: 2216, ACCEPT: 292(13.18%), REJECT: 1721(77.66%), RESERVE: 203(9.16%)
job_235: TOTAL: 108, ACCEPT: 27(25.00%), REJECT: 81(75.00%), RESERVE: 0(0.00%)
job_236: TOTAL: 282, ACCEPT: 75(26.60%), REJECT: 130(46.10%), RESERVE: 77(27.30%)
job_237: TOTAL: 588, ACCEPT: 230(39.12%), REJECT: 205(34.86%), RESERVE: 153(26.02%)
job_238: TOTAL: 723, ACCEPT: 380(52.56%), REJECT: 146(20.19%), RESERVE: 197(27.25%)
job_239: TOTAL: 865, ACCEPT: 309(35.72%), REJECT: 249(28.79%), RESERVE: 307(35.49%)
job_240: TOTAL: 815, ACCEPT: 359(44.05%), REJECT: 226(27.73%), RESERVE: 230(28.22%)
job_241: TOTAL: 419, ACCEPT: 136(32.46%), REJECT: 128(30.55%), RESERVE: 155(36.99%)
job_242: TOTAL: 418, ACCEPT: 167(39.95%), REJECT: 122(29.19%), RESERVE: 129(30.86%)
job_243: TOTAL: 624, ACCEPT: 214(34.29%), REJECT: 211(33.81%), RESERVE: 199(31.89%)
job_244: TOTAL: 1094, ACCEPT: 474(43.33%), REJECT: 267(24.41%), RESERVE: 353(32.27%)
job_245: TOTAL: 480, ACCEPT: 158(32.92%), REJECT: 174(36.25%), RESERVE: 148(30.83%)
job_246: TOTAL: 682, ACCEPT: 353(51.76%), REJECT: 153(22.43%), RESERVE: 176(25.81%)
